service_id,date,exception_type
1,20240621,2
1,20240628,2
1,20240705,2
1,20240712,2
1,20240719,2
1,20240726,2
1,20240802,2
1,20240809,1
2,20240620,2
2,20240621,2
2,20240627,2
2,20240628,2
2,20240704,2
2,20240705,2
2,20240711,2
2,20240712,2
2,20240718,2
2,20240719,2
2,20240725,2
2,20240726,2
2,20240801,2
2,20240802,2
2,20240808,1
2,20240809,1
4,20240619,1
4,20240704,1
5,20240620,2
5,20240627,2
5,20240704,2
5,20240711,2
5,20240718,2
5,20240725,2
5,20240801,2
5,20240808,1
6,20240619,2
6,20240704,2
4-1,20240618,1
4-1,20240703,1
6-1,20240618,2
6-1,20240703,2
